k,cophenetic,mean_ari,reconstruction_error,explained_energy,silhouette_cosine,n_boot,row_frac
2,0.9984625329462731,0.974956643002104,9.085913273465307,0.6762595293610469,0.33629100199273815,200,0.8
3,0.9987028209283574,0.9802554130932526,8.348479452210816,0.7266780032784854,0.3186360232919165,200,0.8
4,0.9880764909877361,0.8900535547583304,7.984806623150094,0.7499720125133271,0.15360546713127685,200,0.8
5,0.9539934340944989,0.6901072462535731,7.740961055554214,0.7650098899466393,0.1114891063126606,200,0.8
6,0.9659959618436119,0.7106779723775264,7.498560884478862,0.7794964104382887,0.09778284906474495,200,0.8
