path,resolved_path,scope,bytes,sha256,mtime_utc
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/functional_decoding_worker.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/functional_decoding_worker.sh,repository,3809,55945922711e0271d35caf95213aebbe66bfa39d93cb818cdd5b58f8e5a96062,2026-08-24T13:26:41.653064+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/plot_nmf_concat_phases.py,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/plot_nmf_concat_phases.py,repository,16297,3e40625bafe82d066738c36b4ef1ecfe89bcb02815dc581d5cba77f3775b4692,2026-08-10T13:09:52.960744+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/run_univariate_mean.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/run_univariate_mean.sh,repository,1339,6d6514ed6422e3a6f18174e77f33ee707bfd0f1dafc66656c7a160d4b3f5ceda,2026-07-20T02:04:23.229846+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_lexical_delay.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_lexical_delay.sh,repository,502,7f6ce80973d025e854f290260c0cca7e02655a6db3cd3563a11ed22327d46a93,2026-08-13T15:52:30.197670+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_phoneme_sequence.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_phoneme_sequence.sh,repository,505,2f4f7c0379877125096955df9128ed2176716b4aad0f1f90363f3d78f3959fdb,2026-08-13T15:52:30.205075+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_picture_naming.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_picture_naming.sh,repository,503,f233e7d9af49ae555f41928e1d52ecc5cebbc7f4f4f993386e88e71b1f87fd0f,2026-08-13T15:52:30.212018+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_response_lexical_delay.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_response_lexical_delay.sh,repository,540,f47e262d168552b70038a02c2be8ed0f8d02ca3a0814d06399a2b3a5f2e53198,2026-08-24T13:26:41.759033+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_response_phoneme_sequence.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_response_phoneme_sequence.sh,repository,543,145c7b3c5742b7c6aa61ab246c210dda4ec413677c70c536bd6739b7cf9d941a,2026-08-24T13:26:42.210422+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_response_picture_naming.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_response_picture_naming.sh,repository,541,f33db48ac4a4e38cb7911c41ae2a6919f2db75625fa1fb577d5220709e115c16,2026-08-24T13:26:42.519354+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_smoke.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/insula_rt_ridge_smoke.sh,repository,758,9759b9a066aae9380473617e04a1326c7204f044d7925d3fcd498572c284f8e1,2026-08-13T15:52:30.219082+00:00
