k,reconstruction_error,explained_energy,silhouette_cosine,stability_ari,min_cluster_n,cluster_counts,converged_runs,n_init
1,10.682728237447083,0.552467911391572,,,255,255,0,20
2,9.08591327346457,0.6762595293610996,0.33629100199273815,1.0,116,139;116,20,20
3,8.348479452208453,0.7266780032786402,0.3186360232919165,1.0,39,142;74;39,20,20
