path,task,subject,phase,sfreq,n_perm,n_folds_requested,inner_folds_requested,random_state,rt_min_s,window_requested_s,step_requested_s,outer_cv,permutation,n_channels,n_windows,n_trials,n_items,n_outer_folds_actual,recording_counts,window_first_start,window_first_end,window_last_end,actual_step_s,incorrect_target_events
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0080/sub-D0080_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0080,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,5,99,168,84,10,"{""default"": 168}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0080/sub-D0080_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0080,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,5,99,168,84,10,"{""default"": 168}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0080/sub-D0080_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0080,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,5,99,168,84,10,"{""default"": 168}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0081/sub-D0081_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0081,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,3,99,167,84,10,"{""default"": 167}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0081/sub-D0081_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0081,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,3,99,167,84,10,"{""default"": 167}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0081/sub-D0081_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0081,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,3,99,167,84,10,"{""default"": 167}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0084/sub-D0084_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0084,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,6,99,146,83,10,"{""default"": 146}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0084/sub-D0084_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0084,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,6,99,146,83,10,"{""default"": 146}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0084/sub-D0084_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0084,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,6,99,146,83,10,"{""default"": 146}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0086/sub-D0086_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0086,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,8,99,142,82,10,"{""default"": 142}",-1.0,-0.8046875,1.4921875,0.0234375,0
